
year 1 payments
Month 1 107.61 5273.10
Month 2 107.61 5165.49
Month 3 107.61 5057.87
Month 4 107.61 4950.26
Month 5 107.61 4842.65
Month 6 107.61 4735.03
Month 7 107.61 4627.42
Month 8 107.61 4519.80
Month 9 107.61 4412.19
Month 10 107.61 4304.57
Month 11 107.61 4196.96
Month 12 107.61 4089.34

year 2 payments
Month 1 107.61 3981.73
Month 2 107.61 3874.12
Month 3 107.61 3766.50
Month 4 107.61 3658.89
Month 5 107.61 3551.27
Month 6 107.61 3443.66
Month 7 107.61 3336.04
Month 8 107.61 3228.43
Month 9 107.61 3120.82
Month 10 107.61 3013.20
Month 11 107.61 2905.59
Month 12 107.61 2797.97

year 3 payments
Month 1 107.61 2690.36
Month 2 107.61 2582.74
Month 3 107.61 2475.13
Month 4 107.61 2367.52
Month 5 107.61 2259.90
Month 6 107.61 2152.29
Month 7 107.61 2044.67
Month 8 107.61 1937.06
Month 9 107.61 1829.44
Month 10 107.61 1721.83
Month 11 107.61 1614.22
Month 12 107.61 1506.60

year 4 payments
Month 1 107.61 1398.99
Month 2 107.61 1291.37
Month 3 107.61 1183.76
Month 4 107.61 1076.14
Month 5 107.61 968.53
Month 6 107.61 860.91
Month 7 107.61 753.30
Month 8 107.61 645.69
Month 9 107.61 538.07
Month 10 107.61 430.46
Month 11 107.61 322.84
Month 12 107.61 215.23

year 5 payments
Month 1 107.61 107.61
Month 2 107.61 0.00
